feature,score
rThirdParty_Info_Period1_13,561
rThirdParty_Info_Period2_5,545
rUserInfo_18,543
rThirdParty_Info_Period1_17,538
rThirdParty_Info_Period2_15,530
rThirdParty_Info_Period1_14,514
rThirdParty_Info_Period3_15,508
rThirdParty_Info_Period4_15,506
rThirdParty_Info_Period2_17,499
rThirdParty_Info_Period2_13,496
rThirdParty_Info_Period2_8,483
rThirdParty_Info_Period4_5,483
rThirdParty_Info_Period2_14,480
rThirdParty_Info_Period3_14,472
rThirdParty_Info_Period5_15,472
rThirdParty_Info_Period2_3,471
rThirdParty_Info_Period2_1,471
rThirdParty_Info_Period3_17,466
rThirdParty_Info_Period3_5,464
rThirdParty_Info_Period1_15,461
rThirdParty_Info_Period2_2,460
rThirdParty_Info_Period1_5,459
rThirdParty_Info_Period1_16,455
rThirdParty_Info_Period2_16,450
rThirdParty_Info_Period1_3,450
rThirdParty_Info_Period4_14,444
rThirdParty_Info_Period4_13,443
rThirdParty_Info_Period3_3,441
rThirdParty_Info_Period2_4,438
rThirdParty_Info_Period5_5,436
rThirdParty_Info_Period3_4,425
rThirdParty_Info_Period3_2,422
rThirdParty_Info_Period5_14,417
rThirdParty_Info_Period5_13,415
rThirdParty_Info_Period5_17,413
rThirdParty_Info_Period1_8,406
rThirdParty_Info_Period3_8,404
rThirdParty_Info_Period1_2,403
rThirdParty_Info_Period2_6,402
rThirdParty_Info_Period4_1,401
rThirdParty_Info_Period3_13,400
rThirdParty_Info_Period1_4,398
rThirdParty_Info_Period4_17,389
rThirdParty_Info_Period4_16,385
rThirdParty_Info_Period1_1,385
rThirdParty_Info_Period2_7,385
rThirdParty_Info_Period1_7,383
rSocialNetwork_10,381
rThirdParty_Info_Period5_16,378
rThirdParty_Info_Period3_1,378
rThirdParty_Info_Period4_8,378
rThirdParty_Info_Period6_13,376
rThirdParty_Info_Period6_15,375
rThirdParty_Info_Period4_3,373
rThirdParty_Info_Period3_16,372
rWeblogInfo_7,367
rSocialNetwork_8,361
rThirdParty_Info_Period4_4,358
rThirdParty_Info_Period1_6,355
rThirdParty_Info_Period6_17,354
rThirdParty_Info_Period3_6,349
rThirdParty_Info_Period5_8,347
rSocialNetwork_9,347
rThirdParty_Info_Period5_2,342
rThirdParty_Info_Period5_3,342
rThirdParty_Info_Period4_2,342
rThirdParty_Info_Period5_1,340
rThirdParty_Info_Period6_14,323
rThirdParty_Info_Period5_4,322
