feature,score
rUserInfo_18,27614
rThirdParty_Info_Period2_17,27486
rThirdParty_Info_Period2_5,27178
rThirdParty_Info_Period2_15,26916
rThirdParty_Info_Period2_13,26526
rThirdParty_Info_Period3_15,26296
rThirdParty_Info_Period1_13,26000
rThirdParty_Info_Period1_14,25812
rThirdParty_Info_Period4_15,25630
rThirdParty_Info_Period2_14,25564
rThirdParty_Info_Period2_3,25268
rThirdParty_Info_Period2_1,24978
rThirdParty_Info_Period1_17,24862
rThirdParty_Info_Period2_2,24776
rThirdParty_Info_Period3_17,24478
rThirdParty_Info_Period2_8,24404
rThirdParty_Info_Period3_5,24348
rThirdParty_Info_Period1_15,24274
rThirdParty_Info_Period4_5,24094
rThirdParty_Info_Period2_16,24070
rThirdParty_Info_Period5_15,24028
rThirdParty_Info_Period1_5,23986
rThirdParty_Info_Period3_14,23946
rThirdParty_Info_Period1_4,23770
rThirdParty_Info_Period3_13,23498
rThirdParty_Info_Period1_3,23378
rThirdParty_Info_Period2_4,22828
rThirdParty_Info_Period4_17,22688
rThirdParty_Info_Period5_17,22618
rThirdParty_Info_Period3_3,22596
rThirdParty_Info_Period4_13,22528
rThirdParty_Info_Period1_16,22348
rThirdParty_Info_Period1_8,21946
rThirdParty_Info_Period4_14,21846
rThirdParty_Info_Period1_2,21794
rThirdParty_Info_Period3_2,21736
rThirdParty_Info_Period3_8,21648
rThirdParty_Info_Period5_14,21588
rThirdParty_Info_Period3_1,21542
rThirdParty_Info_Period5_5,21386
rWeblogInfo_7,21306
rThirdParty_Info_Period4_3,21284
rThirdParty_Info_Period1_1,21218
rThirdParty_Info_Period5_13,21118
rThirdParty_Info_Period3_4,20744
rThirdParty_Info_Period1_7,20714
rThirdParty_Info_Period4_16,20706
rThirdParty_Info_Period2_7,20642
rThirdParty_Info_Period3_16,20540
rThirdParty_Info_Period4_1,19652
rThirdParty_Info_Period6_15,19536
rThirdParty_Info_Period4_4,19506
rThirdParty_Info_Period4_2,19478
rThirdParty_Info_Period4_8,19264
rThirdParty_Info_Period6_13,19116
rThirdParty_Info_Period2_6,19080
rThirdParty_Info_Period5_8,19074
rSocialNetwork_8,18638
rThirdParty_Info_Period5_3,18634
rThirdParty_Info_Period3_6,18508
rThirdParty_Info_Period5_16,18438
rThirdParty_Info_Period5_1,17866
rThirdParty_Info_Period6_14,17840
rThirdParty_Info_Period6_17,17828
rThirdParty_Info_Period5_4,17756
rThirdParty_Info_Period3_7,17652
rThirdParty_Info_Period1_6,17266
rThirdParty_Info_Period5_2,17200
rThirdParty_Info_Period4_7,16882
rSocialNetwork_9,16840
rThirdParty_Info_Period6_5,16746
rSocialNetwork_10,16662
rThirdParty_Info_Period6_3,16358
rThirdParty_Info_Period2_11,15888
rThirdParty_Info_Period4_6,15882
rThirdParty_Info_Period6_16,15862
rWeblogInfo_17,15594
rThirdParty_Info_Period5_6,15588
rThirdParty_Info_Period6_2,15204
rThirdParty_Info_Period5_7,14962
rThirdParty_Info_Period6_8,14798
rThirdParty_Info_Period6_1,14764
rThirdParty_Info_Period6_4,14392
rThirdParty_Info_Period4_11,13814
rThirdParty_Info_Period3_11,13754
rThirdParty_Info_Period6_7,13690
rWeblogInfo_16,13598
rThirdParty_Info_Period2_9,12870
rThirdParty_Info_Period1_11,12762
rThirdParty_Info_Period6_6,12630
rThirdParty_Info_Period1_9,12452
rWeblogInfo_4,12012
rWeblogInfo_18,11364
rWeblogInfo_15,11224
rThirdParty_Info_Period5_11,11180
rWeblogInfo_6,11050
rThirdParty_Info_Period3_9,10862
rThirdParty_Info_Period6_11,10598
rWeblogInfo_8,9460
rThirdParty_Info_Period4_9,9106
rWeblogInfo_5,8702
rThirdParty_Info_Period5_9,8630
rThirdParty_Info_Period6_9,7412
rThirdParty_Info_Period3_12,6738
rThirdParty_Info_Period2_12,6698
rWeblogInfo_14,6236
rThirdParty_Info_Period1_10,6218
rUserInfo_10,5922
rWeblogInfo_24,5830
rThirdParty_Info_Period5_12,5598
rThirdParty_Info_Period2_10,5552
rThirdParty_Info_Period4_12,5452
rThirdParty_Info_Period1_12,5418
rThirdParty_Info_Period6_12,4832
rThirdParty_Info_Period3_10,4342
rWeblogInfo_33,4214
rWeblogInfo_2,4144
rWeblogInfo_27,4018
rSocialNetwork_13,3544
rWeblogInfo_30,3488
rThirdParty_Info_Period5_10,3440
rWeblogInfo_36,3332
rThirdParty_Info_Period4_10,3280
rThirdParty_Info_Period6_10,2746
rWeblogInfo_39,2444
rSocialNetwork_17,1952
rWeblogInfo_42,1762
rSocialNetwork_14,1432
rWeblogInfo_48,1276
rWeblogInfo_25,1162
rSocialNetwork_3,850
rWeblogInfo_9,824
rSocialNetwork_5,814
rWeblogInfo_45,776
rWeblogInfo_50,770
rWeblogInfo_34,764
rSocialNetwork_4,722
rWeblogInfo_29,656
rWeblogInfo_28,590
rThirdParty_Info_Period7_5,576
rWeblogInfo_3,570
rThirdParty_Info_Period7_1,552
rThirdParty_Info_Period7_3,540
rWeblogInfo_1,538
rThirdParty_Info_Period7_6,514
rWeblogInfo_38,508
rThirdParty_Info_Period7_4,506
rThirdParty_Info_Period7_2,504
rWeblogInfo_51,454
rThirdParty_Info_Period7_17,448
rWeblogInfo_37,446
