feature,score
rUserInfo_18,4797
rThirdParty_Info_Period2_17,4787
rThirdParty_Info_Period2_15,4689
rThirdParty_Info_Period2_13,4652
rThirdParty_Info_Period2_5,4548
rThirdParty_Info_Period1_14,4535
rThirdParty_Info_Period3_15,4488
rThirdParty_Info_Period1_13,4478
rThirdParty_Info_Period4_15,4447
rThirdParty_Info_Period2_14,4411
rThirdParty_Info_Period2_3,4406
rThirdParty_Info_Period2_1,4344
rThirdParty_Info_Period1_17,4295
rThirdParty_Info_Period1_15,4283
rThirdParty_Info_Period2_2,4280
rThirdParty_Info_Period2_8,4201
rThirdParty_Info_Period5_15,4196
rThirdParty_Info_Period3_17,4190
rThirdParty_Info_Period3_5,4185
rThirdParty_Info_Period1_5,4168
rThirdParty_Info_Period1_4,4161
rThirdParty_Info_Period2_16,4156
rThirdParty_Info_Period4_5,4138
rThirdParty_Info_Period3_13,4104
rThirdParty_Info_Period1_3,4084
rThirdParty_Info_Period3_14,4059
rThirdParty_Info_Period4_17,4034
rThirdParty_Info_Period2_4,3970
rThirdParty_Info_Period1_2,3939
rThirdParty_Info_Period5_17,3908
rThirdParty_Info_Period3_3,3902
rThirdParty_Info_Period1_16,3862
rWeblogInfo_7,3861
rThirdParty_Info_Period4_13,3858
rThirdParty_Info_Period3_1,3804
rThirdParty_Info_Period4_14,3800
rThirdParty_Info_Period1_1,3799
rThirdParty_Info_Period1_8,3776
rThirdParty_Info_Period3_2,3749
rThirdParty_Info_Period3_8,3734
rThirdParty_Info_Period5_14,3733
rThirdParty_Info_Period5_5,3663
rThirdParty_Info_Period4_16,3635
rThirdParty_Info_Period3_16,3609
rThirdParty_Info_Period3_4,3558
rThirdParty_Info_Period1_7,3553
rThirdParty_Info_Period4_3,3547
rThirdParty_Info_Period5_13,3512
rThirdParty_Info_Period2_7,3461
rThirdParty_Info_Period4_2,3426
rThirdParty_Info_Period2_6,3422
rThirdParty_Info_Period4_8,3415
rThirdParty_Info_Period4_4,3374
rThirdParty_Info_Period5_3,3369
rThirdParty_Info_Period4_1,3331
rThirdParty_Info_Period5_8,3286
rThirdParty_Info_Period6_15,3258
rThirdParty_Info_Period3_6,3229
rSocialNetwork_8,3220
rThirdParty_Info_Period6_13,3203
rThirdParty_Info_Period5_1,3126
rThirdParty_Info_Period6_17,3079
rThirdParty_Info_Period6_14,3073
rThirdParty_Info_Period5_16,3072
rThirdParty_Info_Period5_4,3061
rThirdParty_Info_Period3_7,3053
rThirdParty_Info_Period5_2,3014
rThirdParty_Info_Period1_6,3006
rThirdParty_Info_Period4_7,2905
rThirdParty_Info_Period6_5,2866
rSocialNetwork_9,2858
rThirdParty_Info_Period6_3,2838
rThirdParty_Info_Period4_6,2838
rSocialNetwork_10,2787
rThirdParty_Info_Period5_6,2759
rWeblogInfo_17,2697
rThirdParty_Info_Period2_11,2669
rThirdParty_Info_Period6_2,2646
rThirdParty_Info_Period6_16,2617
rThirdParty_Info_Period6_1,2575
rThirdParty_Info_Period6_4,2572
rThirdParty_Info_Period5_7,2562
rThirdParty_Info_Period6_8,2527
rThirdParty_Info_Period3_11,2426
rWeblogInfo_16,2420
rThirdParty_Info_Period4_11,2394
rThirdParty_Info_Period6_7,2299
rWeblogInfo_4,2250
rThirdParty_Info_Period1_11,2249
rThirdParty_Info_Period2_9,2190
rThirdParty_Info_Period1_9,2182
rThirdParty_Info_Period6_6,2176
rWeblogInfo_15,1994
rThirdParty_Info_Period5_11,1969
rWeblogInfo_18,1929
rWeblogInfo_6,1926
rThirdParty_Info_Period3_9,1885
rThirdParty_Info_Period6_11,1806
rWeblogInfo_8,1724
rWeblogInfo_5,1603
rThirdParty_Info_Period4_9,1542
rThirdParty_Info_Period5_9,1509
rThirdParty_Info_Period6_9,1261
rThirdParty_Info_Period2_12,1175
rThirdParty_Info_Period3_12,1168
rThirdParty_Info_Period1_10,1085
rWeblogInfo_14,1062
rWeblogInfo_24,1059
rUserInfo_10,1058
rThirdParty_Info_Period2_10,979
rThirdParty_Info_Period4_12,975
rThirdParty_Info_Period5_12,973
rThirdParty_Info_Period1_12,949
rThirdParty_Info_Period6_12,857
rWeblogInfo_2,792
rThirdParty_Info_Period3_10,739
rWeblogInfo_27,723
rWeblogInfo_33,706
rSocialNetwork_13,620
rThirdParty_Info_Period4_10,618
rWeblogInfo_30,604
rThirdParty_Info_Period5_10,591
rWeblogInfo_36,581
rThirdParty_Info_Period6_10,489
rWeblogInfo_39,435
rSocialNetwork_17,352
rWeblogInfo_42,294
rSocialNetwork_14,255
rWeblogInfo_48,219
rWeblogInfo_25,210
rSocialNetwork_3,165
rSocialNetwork_5,149
rWeblogInfo_45,142
rWeblogInfo_9,141
rWeblogInfo_34,139
rWeblogInfo_50,131
rWeblogInfo_29,131
rSocialNetwork_4,119
rWeblogInfo_1,117
rWeblogInfo_3,115
rThirdParty_Info_Period7_5,111
rWeblogInfo_28,102
rThirdParty_Info_Period7_3,98
rThirdParty_Info_Period7_1,94
rThirdParty_Info_Period7_4,91
rThirdParty_Info_Period7_6,84
rWeblogInfo_38,82
rWeblogInfo_26,79
rWeblogInfo_51,77
rThirdParty_Info_Period7_2,77
rThirdParty_Info_Period7_14,76
rThirdParty_Info_Period7_8,75
rThirdParty_Info_Period7_15,74
rThirdParty_Info_Period7_17,74
rWeblogInfo_37,71
rSocialNetwork_15,66
rThirdParty_Info_Period7_13,66
rWeblogInfo_35,62
rWeblogInfo_56,53
rThirdParty_Info_Period7_7,47
rThirdParty_Info_Period7_16,46
rThirdParty_Info_Period7_11,46
rSocialNetwork_16,45
rWeblogInfo_23,42
rWeblogInfo_57,38
rWeblogInfo_32,33
rWeblogInfo_31,33
rWeblogInfo_52,22
rThirdParty_Info_Period7_9,22
rWeblogInfo_53,17
rSocialNetwork_6,16
rWeblogInfo_12,15
rWeblogInfo_43,14
rWeblogInfo_40,11
rThirdParty_Info_Period7_12,11
rWeblogInfo_46,10
rWeblogInfo_54,8
rThirdParty_Info_Period7_10,5
rWeblogInfo_13,3
rWeblogInfo_44,3
rWeblogInfo_11,2
rWeblogInfo_47,1
